Código Departamento (DIVIPOLA);DEPARTAMENTOS;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023p;2024pr
;COLOMBIA;514853;549435;586457;605713;612616;640151;684628;711415;747939;781589;804692;821489;832656;854008;881224;817900;906243;972655;979584;995240,5133
91;Amazonas;413,0074462;432,519609;442,2756904;456,9098125;469,9179211;486,1780567;500,8121789;520,3243417;541,462518;562,6006944;593,364403;613,6290864;629,7359631;648,3490343;665,7610317;615,7719391;678,1255725;715,9170169;716,8440957;723,401587
05;Antioquia;73922,53279;79223,68185;84784,03289;86215,88965;85660,01069;88492,49505;95753,27358;99628,81172;104011,8236;111128,948;115446,257;119046,3841;120973,2666;125172,9568;129671,9807;121247,0161;137020,3296;146040,2084;146272,2886;149162,5629
81;Arauca;5044,233001;5101,916075;5537,575079;5778,933204;5768,307374;5284,07315;5077,628465;4819,572609;4672,328973;4309,532799;4534,09302;4271,820897;4167,627336;4293,332305;4596,268607;4567,199917;4759,548256;4819,225743;4784,061432;4959,993821
08;Atlántico;22121,96704;23862,69092;26106,0408;26748,37434;26735,52767;26632,7543;28126,17978;30066,02706;31663,83174;33772,29158;35716,29569;36347,38007;36779,30459;37609,64598;38689,99371;36205,21072;40607,35715;44372,49263;44673,47438;45132,44041
11;Bogotá D.C.;135214,86;144141,3272;153258,8307;158292,9344;161609,2042;167408,9454;176869,7171;183103,7672;190160,1686;198995,5951;206478,4089;210682,9689;214483,6901;221651,9882;229313,7618;213987,5528;237631,2114;260391,4394;261972,8831;267051,3678
13;Bolívar;18885,52245;20196,09119;21861,25104;22152,01575;22106,62808;23076,78936;25158,94835;25784,44706;28346,01323;27792,8511;28105,21129;29284,66131;30271,19034;30804,08828;31919,75599;28575,60421;32660,56437;35424,40371;35647,24251;35907,28968
15;Boyacá;13069,08114;13693,98733;15466,80271;16572,75179;16725,60654;17346,017;18968,97478;19556,41657;20127,37402;20986,05806;22164,68337;22341,24446;22574,43627;23236,70778;23732,3838;21491,47851;23270,35091;24835,37667;24919,72723;25177,13653
17;Caldas;9411,269444;10153,80413;10745,28787;10926,54902;10424,10584;10675,32743;10695,99756;10777,08807;11462,3824;12106,33647;12513,50174;12821,06878;13043,3467;13394,76341;13798,05182;13088,44509;14454,18824;15325,48023;15401,14592;15746,93087
18;Caquetá;2088,258973;2172,860957;2336,424793;2460,507703;2543,699654;2573,310348;2663,552465;2982,219938;3155,654005;3323,44794;3349,867477;3426,809505;3453,897097;3525,116077;3595,866331;3378,182542;3662,685911;3764,622417;3815,593054;3896,20839
85;Casanare;10003,61584;9425,524808;8854,769959;8980,952265;9261,194363;9780,595948;11275,70955;11991,72077;12666,64939;13429,61217;13304,99265;12937,9033;12960,35039;13290,59785;13493,37286;12236,30098;12550,3469;12870,83342;13038,02403;13130,55614
19;Cauca;8246,810899;8748,703115;9211,988238;9806,201765;9839,773151;10527,98656;10924,12891;11911,12765;13290,9116;13898,55368;14622,03608;14975,41018;14876,34042;15139,07698;15614,34344;14599,25064;16097,32623;16946,40387;17012,02815;17418,48807
20;Cesar;9076,223521;9825,091628;10446,49282;10857,86331;11134,52445;11558,93133;12872,70961;13696,89908;13588,2625;14390,72465;14570,40249;15676,32184;16122,61093;16090,23494;16646,45003;14259,45685;14778,4821;15594,36304;15890,31819;15193,05583
27;Chocó;2530,592254;2536,52333;2587,925985;2732,248824;3135,561965;3793,911356;4031,15438;3876,946414;3546,783206;3471,656249;3570,63121;3765,220869;3482,398324;3201,86011;3340,915884;3281,277726;3546,167773;3624,07484;3713,97058;3769,710256
23;Córdoba;10343,08232;10794,84913;11699,86883;11089,09199;11377,39055;11607,73218;11546,8031;12683,65051;13141,36163;13683,77902;13656,5673;13731,40383;13920,29475;14195,53727;14774,33246;13891,5052;15431,42935;16488,35834;16707,5277;17032,13241
25;Cundinamarca;29886,40153;31299,959;33896,56577;36147,41028;36255,88472;38164,35679;41523,67443;43035,53685;44776,21254;46230,44792;48055,14651;49600,64935;50408,73298;51551,4007;52890,19489;49566,51883;55181,84043;59558,24638;59647,96245;60506,32939
94;Guainía;208,7523644;236,4628552;223,5312928;242,0049534;245,6996855;253,0891497;254,9365158;273,4101764;290,0364709;291,8838369;307,3049317;306,5268206;304,2632917;313,2012872;322,4863587;293,948074;333,2773538;336,5866103;339,539329;340,6666597
95;Guaviare;522,7506938;547,643584;595,7698383;572,5364742;555,941214;547,643584;560,9197921;580,8341042;609,0460464;647,2151447;677,3681224;675,8488157;692,4511795;693,3788283;714,7177014;687,0033791;746,5638504;778,2272848;787,2355203;810,5084162
41;Huila;9838,402357;9876,591207;10427,14712;10947,4702;11104,9992;11723,9768;12503,66581;12769,39656;13310,40526;13915,06204;13805,32397;13635,8364;13211,63362;13369,14535;13753,50165;13044,00658;14164,39216;14807,15042;14903,9437;15353,68048
44;La Guajira;6184,963023;6617,542282;6974,95706;7343,109621;7447,419513;7537,923685;8005,784231;8438,36349;8479,780653;8720,613787;8665,8141;8891,340948;8996,213149;8977,145406;8955,49529;6844,756569;8766,454475;8516,025193;8632,673012;8221,498196
47;Magdalena;7061,904383;7231,564417;7595,788712;8311,785189;8833,217406;9138,294166;9314,180257;9721,986946;10238,74962;10128,23712;10513,57745;10868,96574;10989,95258;11248,33874;11524,82663;10855,75958;12089,88082;12832,47134;12897,66468;13126,11345
50;Meta;9877,415412;11049,96191;11676,55385;13989,92068;16992,00986;21269,75562;25834,35886;27810,6351;30819,3339;29878,12408;30712,1626;28904,31526;29021,89984;29403,62113;30800,03006;28179,31498;28793,06245;30215,91599;31354,08063;32066,04601
52;Nariño;7862,35161;8681,624351;9037,185758;9031,259735;9238,670555;9259,411637;9828,309888;10376,46706;11037,21867;11569,07928;12229,74298;12760,12172;12441,29757;12642,58851;13063,71139;12515,43009;13745,16937;14343,98574;14344,29138;14662,83153
54;Norte de Santander;8050,091313;8981,214613;9661,877531;10288,02848;10587,10765;10706,44465;10946,59196;11117,49434;11696,49981;12253,40583;12534,02487;13041,23378;12940,02034;13347,36086;13549,7989;12798,49648;14177,83877;15164,15046;15364,07634;15628,73239
86;Putumayo;1491,840558;1627,065872;1824,814718;2034,195849;2482,038824;2819,37509;2926,973727;2905,163193;3600,192225;3780,492643;3481,437906;3449,565924;3385,87818;3392,889867;3283,509066;2823,303737;3102,525433;3368,158312;3440,912212;3446,076293
63;Quindío;4204,97549;4736,435433;4945,798441;4986,060558;4932,914564;5103,625939;5456,322083;5868,60616;5933,025548;6103,736923;6380,692345;6624,063696;6735,936197;6792,748142;6968,496501;6539,425294;7320,090567;7774,862443;7799,070342;7970,451715
66;Risaralda;9093,155637;9898,816104;10074,03088;10272,17095;10336,03428;10503,06145;10665,17606;10977,94262;11814,71599;12366,56066;12655,73442;13027,28136;13202,2189;13551,49562;13969,19525;13148,91987;14690,78917;15906,17549;16113,09379;16348,00893
88;San Andrés, Providencia y Santa Catalina (Archipiélago);813,3579405;872,0211838;943,3683716;941,7828785;968,7362606;984,5911912;1036,912462;1078,135282;1147,896977;1198,632754;1253,04334;1304,799666;1342,649303;1372,798966;1415,880609;1135,078237;1403,675089;1570,417656;1531,641937;1531,489057
68;Santander;33528,20979;35773,59044;38353,01866;40470,58981;40212,06603;42785,68474;44685,39877;45841,49385;47680,20789;52134,65967;51999,22965;53175,38301;54065,42769;54942,33384;56514,66851;51475,27909;57117,60497;61011,03258;61497,43579;62586,9137
70;Sucre;4033,407729;4409,045236;4750,249305;4909,895245;5199,449157;5205,709782;5553,174476;5855,249637;6133,847455;6468,790898;6577,32128;6807,148535;6981,911253;7108,145432;7365,709264;6941,387377;7676,980802;8040,840663;8050,415425;8123,319501
73;Tolima;12491,49509;13277,80722;14601,11299;14863,21704;14816,86937;14820,06576;15312,30994;15830,12524;16616,43737;17182,19853;17380,83289;17707,73831;17935,71544;18119,89222;18511,82214;17149,31286;18732,55099;19647,31802;19826,48981;20323,27362
76;Valle del Cauca;51787,13769;56385,65493;61009,5866;62367,01626;62817,0012;63805,17412;66669,53011;69200,50855;72245,7555;75900,94881;78074,26193;80021,6216;81446,84406;84172,28185;87022,56079;81903,58326;89970,37692;97055,23872;97519,93907;99509,13858
97;Vaupés;137,3478338;146,7124588;168,5632506;177,9278756;184,1709589;190,4140423;201,3394382;201,3394382;216,9471465;224,7510007;233,4416339;235,6529771;239,3799886;248,1181443;256,8274018;241,8828552;266,1666245;272,1871205;276,0708708;280,5192994
99;Vichada;393,3307562;414,4020467;453,032746;467,080273;479,3718591;482,8837409;437,2292781;454,7886869;488,1515635;489,9075044;529,2264341;528,6788936;541,2740007;556,2514669;581,1938769;556,3363411;606,7544836;614,9913182;622,2013875;640,1519018
