"cod_eve","nombre_evento","semana","ano","municipio_ocurrencia","departamento_ocurrencia","conteo"
356,"INTENTO DE SUICIDIO",1,"2,021","PALMIRA","VALLE",7
356,"INTENTO DE SUICIDIO",1,"2,021","ABREGO","NORTE SANTANDER",1
356,"INTENTO DE SUICIDIO",1,"2,021","AGUACHICA","CESAR",1
356,"INTENTO DE SUICIDIO",1,"2,021","AGUADAS","CALDAS",1
356,"INTENTO DE SUICIDIO",1,"2,021","ARMENIA","QUINDIO",4
356,"INTENTO DE SUICIDIO",1,"2,021","BARBOSA","ANTIOQUIA",1
356,"INTENTO DE SUICIDIO",1,"2,021","CALARCA","QUINDIO",5
356,"INTENTO DE SUICIDIO",1,"2,021","CONVENCION","NORTE SANTANDER",1
356,"INTENTO DE SUICIDIO",1,"2,021","DUITAMA","BOYACA",2
356,"INTENTO DE SUICIDIO",1,"2,021","FLORENCIA","CAUCA",1
356,"INTENTO DE SUICIDIO",1,"2,021","GIRARDOT","CUNDINAMARCA",3
356,"INTENTO DE SUICIDIO",1,"2,021","GUADALUPE","HUILA",1
356,"INTENTO DE SUICIDIO",1,"2,021","ITAGUI","ANTIOQUIA",4
356,"INTENTO DE SUICIDIO",1,"2,021","LA VIRGINIA","RISARALDA",1
356,"INTENTO DE SUICIDIO",1,"2,021","LOS PATIOS","NORTE SANTANDER",1
356,"INTENTO DE SUICIDIO",1,"2,021","NECOCLI","ANTIOQUIA",1
356,"INTENTO DE SUICIDIO",1,"2,021","ORITO","PUTUMAYO",1
356,"INTENTO DE SUICIDIO",1,"2,021","PEREIRA","RISARALDA",8
356,"INTENTO DE SUICIDIO",1,"2,021","PITALITO","HUILA",3
356,"INTENTO DE SUICIDIO",1,"2,021","PLATO","MAGDALENA",1
356,"INTENTO DE SUICIDIO",1,"2,021","QUIMBAYA","QUINDIO",1
356,"INTENTO DE SUICIDIO",1,"2,021","SALDAÑA","TOLIMA",1
356,"INTENTO DE SUICIDIO",1,"2,021","SAN SEBASTIAN DE BUENAVISTA","MAGDALENA",2
356,"INTENTO DE SUICIDIO",1,"2,021","SAN VICENTE DEL CAGUAN","CAQUETA",2
356,"INTENTO DE SUICIDIO",1,"2,021","SANTA ROSA DE OSOS","ANTIOQUIA",2
356,"INTENTO DE SUICIDIO",1,"2,021","SONSON","ANTIOQUIA",2
356,"INTENTO DE SUICIDIO",1,"2,021","VALLE DEL GUAMUEZ","PUTUMAYO",1
356,"INTENTO DE SUICIDIO",1,"2,021","VICTORIA","CALDAS",1
356,"INTENTO DE SUICIDIO",1,"2,021","YARUMAL","ANTIOQUIA",1
356,"INTENTO DE SUICIDIO",1,"2,021","ZIPAQUIRA","CUNDINAMARCA",1
356,"INTENTO DE SUICIDIO",2,"2,021","ABEJORRAL","ANTIOQUIA",1
356,"INTENTO DE SUICIDIO",2,"2,021","ANSERMA","CALDAS",1
356,"INTENTO DE SUICIDIO",2,"2,021","ANZOATEGUI","TOLIMA",1
356,"INTENTO DE SUICIDIO",2,"2,021","ARJONA","BOLIVAR",1
356,"INTENTO DE SUICIDIO",2,"2,021","CALARCA","QUINDIO",3
356,"INTENTO DE SUICIDIO",2,"2,021","CALDONO","CAUCA",1
356,"INTENTO DE SUICIDIO",2,"2,021","DUITAMA","BOYACA",1
356,"INTENTO DE SUICIDIO",2,"2,021","ESPINAL","TOLIMA",1
356,"INTENTO DE SUICIDIO",2,"2,021","GALERAS (NUEVA GRANADA)","SUCRE",1
356,"INTENTO DE SUICIDIO",2,"2,021","ISNOS (SAN JOSE DE ISNOS)","HUILA",1
356,"INTENTO DE SUICIDIO",2,"2,021","JAMUNDI","VALLE",3
356,"INTENTO DE SUICIDIO",2,"2,021","MARIQUITA","TOLIMA",1
356,"INTENTO DE SUICIDIO",2,"2,021","MOGOTES","SANTANDER",1
356,"INTENTO DE SUICIDIO",2,"2,021","MONTERIA","CORDOBA",5
356,"INTENTO DE SUICIDIO",2,"2,021","NEIRA","CALDAS",1
356,"INTENTO DE SUICIDIO",2,"2,021","PALMIRA","VALLE",5
356,"INTENTO DE SUICIDIO",2,"2,021","PITALITO","HUILA",2
356,"INTENTO DE SUICIDIO",2,"2,021","POPAYAN","CAUCA",7
356,"INTENTO DE SUICIDIO",2,"2,021","PUERTO BOYACA","BOYACA",1
356,"INTENTO DE SUICIDIO",2,"2,021","PUERTO CAICEDO","PUTUMAYO",1
356,"INTENTO DE SUICIDIO",2,"2,021","RIOHACHA","GUAJIRA",1
356,"INTENTO DE SUICIDIO",2,"2,021","SAN PABLO","BOLIVAR",1
356,"INTENTO DE SUICIDIO",2,"2,021","SAN PEDRO","VALLE",1
356,"INTENTO DE SUICIDIO",2,"2,021","SANTA CATALINA","BOLIVAR",1
356,"INTENTO DE SUICIDIO",2,"2,021","SANTA ROSA DE OSOS","ANTIOQUIA",1
356,"INTENTO DE SUICIDIO",2,"2,021","SOGAMOSO","BOYACA",1
356,"INTENTO DE SUICIDIO",2,"2,021","SUCRE","CAUCA",1
356,"INTENTO DE SUICIDIO",2,"2,021","SUESCA","CUNDINAMARCA",1
