cod_departamento,departamento,valor,EDADQ,anio,sexo
"05","ANTIOQUIA","191231","0 a 4 anos","2020","Hombres",
"05","ANTIOQUIA","244850","10 a 14 anos","2020","Hombres",
"05","ANTIOQUIA","262091","15 a 19 anos","2020","Hombres",
"05","ANTIOQUIA","279576","20 a 24 anos","2020","Hombres",
"05","ANTIOQUIA","281547","25 a 29 anos","2020","Hombres",
"05","ANTIOQUIA","250158","30 a 34 anos","2020","Hombres",
"05","ANTIOQUIA","221918","35 a 39 anos","2020","Hombres",
"05","ANTIOQUIA","194467","40 a 44 anos","2020","Hombres",
"05","ANTIOQUIA","169756","45 a 49 anos","2020","Hombres",
"05","ANTIOQUIA","181592","50 a 54 anos","2020","Hombres",
"05","ANTIOQUIA","180398","55 a 59 anos","2020","Hombres",
"05","ANTIOQUIA","217642","5 a 9 anos","2020","Hombres",
"05","ANTIOQUIA","150296","60 a 64 anos","2020","Hombres",
"05","ANTIOQUIA","117238","65 a 69 anos","2020","Hombres",
"05","ANTIOQUIA","85082","70 a 74 anos","2020","Hombres",
"05","ANTIOQUIA","55652","75 a 79 anos","2020","Hombres",
"05","ANTIOQUIA","35613","80 a 84 anos","2020","Hombres",
"05","ANTIOQUIA","17037","85 a 89 anos","2020","Hombres",
"05","ANTIOQUIA","8025","90 a 94 anos","2020","Hombres",
"05","ANTIOQUIA","5258","95 y mas anos","2020","Hombres",
"05","ANTIOQUIA","172473","0 a 4 anos","2020","Mujeres",
"05","ANTIOQUIA","222138","10 a 14 anos","2020","Mujeres",
"05","ANTIOQUIA","251704","15 a 19 anos","2020","Mujeres",
"05","ANTIOQUIA","291858","20 a 24 anos","2020","Mujeres",
"05","ANTIOQUIA","287334","25 a 29 anos","2020","Mujeres",
"05","ANTIOQUIA","261520","30 a 34 anos","2020","Mujeres",
"05","ANTIOQUIA","239421","35 a 39 anos","2020","Mujeres",
"05","ANTIOQUIA","218351","40 a 44 anos","2020","Mujeres",
"05","ANTIOQUIA","192163","45 a 49 anos","2020","Mujeres",
"05","ANTIOQUIA","202513","50 a 54 anos","2020","Mujeres",
"05","ANTIOQUIA","196921","55 a 59 anos","2020","Mujeres",
"05","ANTIOQUIA","192006","5 a 9 anos","2020","Mujeres",
"05","ANTIOQUIA","161683","60 a 64 anos","2020","Mujeres",
"05","ANTIOQUIA","122616","65 a 69 anos","2020","Mujeres",
"05","ANTIOQUIA","88430","70 a 74 anos","2020","Mujeres",
"05","ANTIOQUIA","60212","75 a 79 anos","2020","Mujeres",
"05","ANTIOQUIA","42390","80 a 84 anos","2020","Mujeres",
"05","ANTIOQUIA","25466","85 a 89 anos","2020","Mujeres",
"05","ANTIOQUIA","13122","90 a 94 anos","2020","Mujeres",
"05","ANTIOQUIA","5091","95 y mas anos","2020","Mujeres",
"08","ATLANTICO","103669","0 a 4 anos","2020","Hombres",
"08","ATLANTICO","114531","10 a 14 anos","2020","Hombres",
"08","ATLANTICO","115687","15 a 19 anos","2020","Hombres",
"08","ATLANTICO","110749","20 a 24 anos","2020","Hombres",
"08","ATLANTICO","105526","25 a 29 anos","2020","Hombres",
"08","ATLANTICO","94895","30 a 34 anos","2020","Hombres",
"08","ATLANTICO","90806","35 a 39 anos","2020","Hombres",
"08","ATLANTICO","82618","40 a 44 anos","2020","Hombres",
"08","ATLANTICO","70743","45 a 49 anos","2020","Hombres",
"08","ATLANTICO","69548","50 a 54 anos","2020","Hombres",
"08","ATLANTICO","67039","55 a 59 anos","2020","Hombres",
"08","ATLANTICO","115382","5 a 9 anos","2020","Hombres",
"08","ATLANTICO","53727","60 a 64 anos","2020","Hombres",
"08","ATLANTICO","40073","65 a 69 anos","2020","Hombres",
"08","ATLANTICO","28765","70 a 74 anos","2020","Hombres",
"08","ATLANTICO","17804","75 a 79 anos","2020","Hombres",
"08","ATLANTICO","12315","80 a 84 anos","2020","Hombres",
"08","ATLANTICO","6139","85 a 89 anos","2020","Hombres",
"08","ATLANTICO","3011","90 a 94 anos","2020","Hombres",
"08","ATLANTICO","2429","95 y mas anos","2020","Hombres",
"08","ATLANTICO","95125","0 a 4 anos","2020","Mujeres",
"08","ATLANTICO","103617","10 a 14 anos","2020","Mujeres",
"08","ATLANTICO","107169","15 a 19 anos","2020","Mujeres",
"08","ATLANTICO","117011","20 a 24 anos","2020","Mujeres",
"08","ATLANTICO","108313","25 a 29 anos","2020","Mujeres",
"08","ATLANTICO","99625","30 a 34 anos","2020","Mujeres",
"08","ATLANTICO","96100","35 a 39 anos","2020","Mujeres",
"08","ATLANTICO","87699","40 a 44 anos","2020","Mujeres",
"08","ATLANTICO","75911","45 a 49 anos","2020","Mujeres",
"08","ATLANTICO","75591","50 a 54 anos","2020","Mujeres",
