"dp","dpnom","region","ano","area_geografica","total"
5,"Antioquia","Andina",2021,"Total",6721140
8,"Atlántico","Caribe",2021,"Total",2741296
11,"Bogotá, D.C.","Andina",2021,"Total",7804920
13,"Bolívar","Caribe",2021,"Total",2177352
15,"Boyacá","Andina",2021,"Total",1260227
17,"Caldas","Andina",2021,"Total",1035206
18,"Caquetá","Amazonia",2021,"Total",414947
19,"Cauca","Pacífico",2021,"Total",1531934
20,"Cesar","Caribe",2021,"Total",1347446
23,"Córdoba","Caribe",2021,"Total",1890862
25,"Cundinamarca","Andina",2021,"Total",3242668
27,"Chocó","Pacífico",2021,"Total",564382
41,"Huila","Andina",2021,"Total",1151482
44,"La Guajira","Caribe",2021,"Total",986573
47,"Magdalena","Caribe",2021,"Total",1463123
50,"Meta","Orinoquía",2021,"Total",1104559
52,"Nariño","Pacífico",2021,"Total",1673585
54,"Norte de Santander","Andina",2021,"Total",1640270
63,"Quindío","Andina",2021,"Total",552571
66,"Risaralda","Andina",2021,"Total",979983
68,"Santander","Andina",2021,"Total",2319558
70,"Sucre","Caribe",2021,"Total",972704
73,"Tolima","Andina",2021,"Total",1361747
76,"Valle del Cauca","Pacífico",2021,"Total",4636501
81,"Arauca","Orinoquía",2021,"Total",273137
85,"Casanare","Orinoquía",2021,"Total",449378
86,"Putumayo","Amazonia",2021,"Total",368423
88,"Archipiélago de San Andrés, Providencia y Santa Catalina","Insular",2021,"Total",62573
91,"Amazonas","Amazonia",2021,"Total",80865
94,"Guainía","Amazonia",2021,"Total",53485
95,"Guaviare","Amazonia",2021,"Total",83885
97,"Vaupés","Amazonia",2021,"Total",42641
99,"Vichada","Orinoquía",2021,"Total",126214
